,Round_home,Team_home,Opponent_home,Result_home,Venue_home,GF_home,GA_home,xG_home,xGA_home,Poss_home,Recent_GF_home,Recent_GA_home,Recent_xG_home,Recent_xGA_home,Recent_Poss_home,Cum_GF_home,Cum_GA_home,Cum_xG_home,Cum_xGA_home,Cum_Poss_home,Label_home,Form_home,Opponent_Match_ID,Round_away,Team_away,Opponent_away,Result_away,Venue_away,GF_away,GA_away,xG_away,xGA_away,Poss_away,Recent_GF_away,Recent_GA_away,Recent_xG_away,Recent_xGA_away,Recent_Poss_away,Cum_GF_away,Cum_GA_away,Cum_xG_away,Cum_xGA_away,Cum_Poss_away,Label_away,Form_away,Match_ID,Label
4-Arsenal-Manchester-United,4,Arsenal,Manchester-United,W,Home,3,1,2.3,0.9,55,1.6666666666666667,1.0,2.0,0.9333333333333332,67.33333333333333,1.6666666666666667,1.0,2.0,0.9333333333333332,67.33333333333333,1,8.666666666666668,4-Manchester-United-Arsenal,4,Manchester-United,Arsenal,L,Away,1,3,0.9,2.3,45,1.3333333333333333,1.3333333333333333,2.3666666666666667,1.7,54.0,1.3333333333333333,1.3333333333333333,2.3666666666666667,1.7,54.0,-1,7.777777777777778,4-Manchester-United-Arsenal,1
4-Brentford-Bournemouth,4,Brentford,Bournemouth,D,Home,2,2,2.9,2.1,60,2.0,1.0,2.3000000000000003,0.8666666666666667,45.333333333333336,2.0,1.0,2.3000000000000003,0.8666666666666667,45.333333333333336,0,7.777777777777778,4-Bournemouth-Brentford,4,Bournemouth,Brentford,D,Away,2,2,2.1,2.9,40,0.6666666666666666,2.0,1.0999999999999999,2.066666666666667,47.333333333333336,0.6666666666666666,2.0,1.0999999999999999,2.066666666666667,47.333333333333336,0,4.222222222222222,4-Bournemouth-Brentford,0
4-Brighton-and-Hove-Albion-Newcastle-United,4,Brighton-and-Hove-Albion,Newcastle-United,W,Home,3,1,1.3,1.2,56,3.0,1.6666666666666667,2.566666666666667,2.1999999999999997,67.0,3.0,1.6666666666666667,2.566666666666667,2.1999999999999997,67.0,1,7.333333333333333,4-Newcastle-United-Brighton-and-Hove-Albion,4,Newcastle-United,Brighton-and-Hove-Albion,L,Away,1,3,1.2,1.3,44,2.0,1.3333333333333333,1.8666666666666665,1.2333333333333334,50.666666666666664,2.0,1.3333333333333333,1.8666666666666665,1.2333333333333334,50.666666666666664,-1,5.111111111111111,4-Newcastle-United-Brighton-and-Hove-Albion,1
4-Chelsea-Nottingham-Forest,4,Chelsea,Nottingham-Forest,L,Home,0,1,2.3,0.8,75,1.6666666666666667,1.3333333333333333,2.033333333333333,1.1666666666666667,69.0,1.6666666666666667,1.3333333333333333,2.033333333333333,1.1666666666666667,69.0,-1,6.888888888888889,4-Nottingham-Forest-Chelsea,4,Nottingham-Forest,Chelsea,W,Away,1,0,0.8,2.3,25,1.6666666666666667,2.0,1.2666666666666666,1.3666666666666665,35.333333333333336,1.6666666666666667,2.0,1.2666666666666666,1.3666666666666665,35.333333333333336,1,5.555555555555555,4-Nottingham-Forest-Chelsea,-1
4-Crystal-Palace-Wolverhampton-Wanderers,4,Crystal-Palace,Wolverhampton-Wanderers,W,Home,3,2,2.1,1.2,43,0.6666666666666666,0.6666666666666666,1.2333333333333334,1.1666666666666667,51.666666666666664,0.6666666666666666,0.6666666666666666,1.2333333333333334,1.1666666666666667,51.666666666666664,1,6.444444444444445,4-Wolverhampton-Wanderers-Crystal-Palace,4,Wolverhampton-Wanderers,Crystal-Palace,L,Away,2,3,1.2,2.1,57,0.6666666666666666,1.6666666666666667,1.8,1.9000000000000001,49.666666666666664,0.6666666666666666,1.6666666666666667,1.8,1.9000000000000001,49.666666666666664,-1,6.0,4-Wolverhampton-Wanderers-Crystal-Palace,1
4-Liverpool-Aston-Villa,4,Liverpool,Aston-Villa,W,Home,3,0,2.5,0.7,63,2.0,1.0,1.7333333333333334,1.5666666666666667,46.666666666666664,2.0,1.0,1.7333333333333334,1.5666666666666667,46.666666666666664,1,9.11111111111111,4-Aston-Villa-Liverpool,4,Aston-Villa,Liverpool,L,Away,0,3,0.7,2.5,37,2.6666666666666665,2.0,2.4,1.5333333333333332,50.333333333333336,2.6666666666666665,2.0,2.4,1.5333333333333332,50.333333333333336,-1,8.222222222222221,4-Aston-Villa-Liverpool,1
4-Luton-Town-West-Ham-United,4,Luton-Town,West-Ham-United,L,Home,1,2,1.4,1.0,39,0.6666666666666666,3.0,1.0666666666666667,2.4333333333333336,37.333333333333336,0.6666666666666666,3.0,1.0666666666666667,2.4333333333333336,37.333333333333336,-1,3.333333333333333,4-West-Ham-United-Luton-Town,4,West-Ham-United,Luton-Town,W,Away,2,1,1.0,1.4,61,2.3333333333333335,1.0,1.9666666666666668,1.7666666666666666,28.333333333333332,2.3333333333333335,1.0,1.9666666666666668,1.7666666666666666,28.333333333333332,1,9.11111111111111,4-West-Ham-United-Luton-Town,-1
4-Manchester-City-Fulham,4,Manchester-City,Fulham,W,Home,5,1,2.2,1.4,68,2.0,0.3333333333333333,2.1333333333333333,0.4333333333333333,67.66666666666667,2.0,0.3333333333333333,2.1333333333333333,0.4333333333333333,67.66666666666667,1,10.0,4-Fulham-Manchester-City,4,Fulham,Manchester-City,L,Away,1,5,1.4,2.2,32,1.0,1.6666666666666667,0.8666666666666667,3.2000000000000006,47.333333333333336,1.0,1.6666666666666667,0.8666666666666667,3.2000000000000006,47.333333333333336,-1,6.444444444444445,4-Fulham-Manchester-City,1
4-Sheffield-United-Everton,4,Sheffield-United,Everton,D,Home,2,2,1.2,2.5,46,0.6666666666666666,1.6666666666666667,0.5666666666666667,2.2666666666666666,34.333333333333336,0.6666666666666666,1.6666666666666667,0.5666666666666667,2.2666666666666666,34.333333333333336,0,3.333333333333333,4-Everton-Sheffield-United,4,Everton,Sheffield-United,D,Away,2,2,2.5,1.2,54,0.0,2.0,1.5333333333333332,1.8333333333333333,43.0,0.0,2.0,1.5333333333333332,1.8333333333333333,43.0,0,3.333333333333333,4-Everton-Sheffield-United,0
5-Aston-Villa-Crystal-Palace,5,Aston-Villa,Crystal-Palace,W,Home,3,1,3.0,1.2,66,2.3333333333333335,1.3333333333333333,2.033333333333333,1.2666666666666666,46.666666666666664,2.0,2.25,1.9749999999999999,1.775,47.0,1,7.333333333333333,5-Crystal-Palace-Aston-Villa,5,Crystal-Palace,Aston-Villa,L,Away,1,3,1.2,3.0,34,1.3333333333333333,1.3333333333333333,1.3,1.4000000000000001,43.333333333333336,1.25,1.0,1.45,1.175,49.5,-1,7.111111111111112,5-Crystal-Palace-Aston-Villa,1
